navy	admiral	EMPLOYER
church	commissioner	EMPLOYER
city	commissioner	EMPLOYER
police	commissioner	EMPLOYER
army	general	EMPLOYER
police	general	EMPLOYER
church	accountant	EMPLOYER
state	administrator	EMPLOYER
child	advocate	EMPLOYER
consumer	advocate	EMPLOYER
government	agency	EMPLOYER
state	agency	EMPLOYER
government	agent	EMPLOYER
player	agent	EMPLOYER
police	agent	EMPLOYER
administration	aide	EMPLOYER
campaign	aide	EMPLOYER
committee	aide	EMPLOYER
press	aide	EMPLOYER
government	army	EMPLOYER
state	assemblyman	EMPLOYER
company	auditor	EMPLOYER
district	auditor	EMPLOYER
government	auditor	EMPLOYER
state	auditor	EMPLOYER
district	authorities	EMPLOYER
state	biologist	EMPLOYER
government	body	EMPLOYER
state	body	EMPLOYER
state	bureaucracy	EMPLOYER
government	bureaucrat	EMPLOYER
army	captain	EMPLOYER
navy	captain	EMPLOYER
team	captain	EMPLOYER
restaurant	chef	EMPLOYER
church	choir	EMPLOYER
circus	clown	EMPLOYER
newspaper	columnist	EMPLOYER
state	commissioner	EMPLOYER
city	committee	EMPLOYER
government	committee	EMPLOYER
parliament	committee	EMPLOYER
school	committee	EMPLOYER
state	committee	EMPLOYER
village	committee	EMPLOYER
police	constable	EMPLOYER
government	contractor	EMPLOYER
state	councillor	EMPLOYER
city	councilwoman	EMPLOYER
business	counsel	EMPLOYER
city	court	EMPLOYER
city	department	EMPLOYER
government	department	EMPLOYER
state	department	EMPLOYER
police	detective	EMPLOYER
magazine	editor	EMPLOYER
airline	employee	EMPLOYER
airport	employee	EMPLOYER
bank	employee	EMPLOYER
city	employee	EMPLOYER
college	employee	EMPLOYER
company	employee	EMPLOYER
court	employee	EMPLOYER
embassy	employee	EMPLOYER
government	employee	EMPLOYER
hospital	employee	EMPLOYER
hotel	employee	EMPLOYER
office	employee	EMPLOYER
plant	employee	EMPLOYER
prison	employee	EMPLOYER
railroad	employee	EMPLOYER
restaurant	employee	EMPLOYER
school	employee	EMPLOYER
state	employee	EMPLOYER
store	employee	EMPLOYER
university	employee	EMPLOYER
magazine	entrepreneur	EMPLOYER
industry	excutives	EMPLOYER
army	expert	EMPLOYER
government	expert	EMPLOYER
police	expert	EMPLOYER
state	expert	EMPLOYER
government	functionary	EMPLOYER
police	informer	EMPLOYER
company	insider	EMPLOYER
industry	insider	EMPLOYER
city	inspector	EMPLOYER
government	inspector	EMPLOYER
police	inspector	EMPLOYER
state	inspector	EMPLOYER
state	jury	EMPLOYER
army	lieutenant	EMPLOYER
business	lobbyist	EMPLOYER
industry	lobbyist	EMPLOYER
state	marshal	EMPLOYER
government	ministry	EMPLOYER
state	ministry	EMPLOYER
government	negotiator	EMPLOYER
airline	office	EMPLOYER
cartel	office	EMPLOYER
league	office	EMPLOYER
administration	official	EMPLOYER
agency	official	EMPLOYER
airline	official	EMPLOYER
airport	official	EMPLOYER
army	official	EMPLOYER
bank	official	EMPLOYER
board	official	EMPLOYER
brokerage	official	EMPLOYER
bureau	official	EMPLOYER
church	official	EMPLOYER
city	official	EMPLOYER
club	official	EMPLOYER
coalition	official	EMPLOYER
commission	official	EMPLOYER
committee	official	EMPLOYER
company	official	EMPLOYER
court	official	EMPLOYER
department	official	EMPLOYER
embassy	official	EMPLOYER
foundation	official	EMPLOYER
government	official	EMPLOYER
hospital	official	EMPLOYER
hotel	official	EMPLOYER
industry	official	EMPLOYER
institute	official	EMPLOYER
jail	official	EMPLOYER
lab	official	EMPLOYER
labor	official	EMPLOYER
labour	official	EMPLOYER
league	official	EMPLOYER
management	official	EMPLOYER
military	official	EMPLOYER
ministry	official	EMPLOYER
museum	official	EMPLOYER
navy	official	EMPLOYER
network	official	EMPLOYER
office	official	EMPLOYER
opposition	official	EMPLOYER
palace	official	EMPLOYER
party	official	EMPLOYER
plant	official	EMPLOYER
police	official	EMPLOYER
press	official	EMPLOYER
prison	official	EMPLOYER
railroad	official	EMPLOYER
railway	official	EMPLOYER
school	official	EMPLOYER
state	official	EMPLOYER
syndicate	official	EMPLOYER
team	official	EMPLOYER
town	official	EMPLOYER
union	official	EMPLOYER
university	official	EMPLOYER
village	official	EMPLOYER
zoo	official	EMPLOYER
employer	organisation	EMPLOYER
state	organization	EMPLOYER
youth	organization	EMPLOYER
government	panel	EMPLOYER
state	panel	EMPLOYER
state	parliament	EMPLOYER
industry	people	EMPLOYER
army	personnel	EMPLOYER
embassy	personnel	EMPLOYER
government	personnel	EMPLOYER
